360 ORCHARD ROAD 
20 Bideford Road 
39 Lorong 24 Geylang
Bukit Pasoh Extension Conservation Area 91 Keong Siak (Saik) Road
12 Gul Drive
103 Amoy Street
33 Tembeling Road
307 Alexandra Rd 05-01/02
31A Cantonment Road
Bugis Junction 200 Victoria Street 
3 COLEMAN STREET 
406A Sembawang Dr 
112D Oxley Rise
BLK 107 SERANGOON NORTH AVENUE 1
160 Paya Lebar Road 07-08 Orion Industrial Building
1074 Eunos Avenue 6 
33 Club Street 02-12
HDB Commonwealth 39A Commonwealth Avenue 
Far East Plaza 14 Scotts Road 
7 Jln Hikayat
2022 Bukit Batok Street 23 
35 Selegie Road
152 Beach Road 
Block 450 Clementi Avenue 3 
420 North Bridge Road 
73 Science Park Drive 
Maxwell House 20 Maxwell Road 
478 River Valley Rd 
9010 Tampines Street 93 04-107 Tampines Ind Park
51 GoldHill Plaza 21-06
Blk 3017 Bedok Nth St 5 
123B Serangoon Road
629 Aljunied Road 
45 Jln Pemimpin 03-01 Foo Wah Ind Bldg
7 Serangoon Avenue 2 05-15 Sunglade
138 Robinson Road 14-03 The Corporate Office
Fook Hai Building 150 South Bridge Road 
163 Pandan Loop Blk V
3 MOUNT ELIZABETH
3 Dickson Road Bugis
60 Alexandra Terrace 09-14
11 COLLYER QUAY 
108 PASIR PANJANG ROAD 03-03C AMCOL WAREHOUSE
151 Petir Road 09-180
80 Marine Parade Rd 
9 Temasek Boulevard 
133 Cecil Street 
127 Pioneer Road
182 Tagore Lane
315 Outram Road 06-06
166 Woodlands Street 13 01-533
146 Pandan Loop Blk 10
6 Soon Lee Road Jurong
190 Yishun Avenue 7
231 Lavender St 
159 STILL ROAD
908A Upper Thomson Road
21 Serangoon North Ave 5 
4 Kwong Min Road
63 Market St 
Serangoon Garden Estate 79 Serangoon Gardens Way
39 Gul Drive
27 PURVIS STREET 
Ruby Industrial Complex 80 Genting Lane 
Pan-I Building 601 Sims Drive 
No7 Pandan Road (Gate No2)
5001 BEACH ROAD 09-87 GOLDEN MILE COMPLEX
Shaw Centre 1 Scotts Road 
9 holland avenue 20-62
16 Raffles Quay 
31 Loyang Crescent
20 Cecil Street 
261 Waterloo Street 03-21 Waterloo Centre
31 Marsiling Drive 01-325
BLK 7 JALAN BATU
210 Turf Club Road
Blk 89 Marine Parade Central 
253 Alexandra Road 01-03
170 UPPER BUKIT TIMAH ROAD 
21 Pasir Panjang Roa Wholesale Centre 
1023 WOODLANDS IND PK D 01-02
Boon Lay Shopping Centre 221 Boon Lay Place 
35 SELEGIE ROAD Parklane Shopping Mall
Dentigiene Dental Surgery Pte Ltd 305 Woodlands Street 31 
15 MCCALLUM STREET 07-04
360 Orchard Road International Building
65 Sims Ave 
BLK 44 HOLLAND DRIVE 
Richfield Indus
Pioneer Road North
Duchess Crest 58 Duchess Avenue 
20 Mccallum Street 14-03 Asia Chambers
238A Thomson Road 
5040 Ang Mo Kio Ind Pk 2 
37 Tannery Lane 02-10 Tannery House
212 Chua Chu Kang Central 07-140
60 Eng Kong Place
34 Marine Cres 
5 Ang Mo Kio Ind Pk 2A 
46A Tuas Crescent
10 HONGKONG STREET
13 NORTH BRIDGE ROAD 01-3978
1 Joo Chiat Road 
Blk 264 Serangoon Central 
67 AYER RAJAH CRESCENT 07-07
139 Tampines Street 11 01-18
6 Marsiling Lane
33 Tuas South Street 1
Woodlands East Industrial Estate 
3 QUEEN'S ROAD 
2 Bukit Batok Street 24 
13 North Bridge Road 01-3984
81 Marine Parade Central 
35 FISHERY PORT ROAD RM 407
55 Chander Rd
828 Tampines St 81 
261 Waterloo St 
50 Kallang Ave 
95 Killiney Road
423 Tampines St 41 
209 Henderson Rd 
165 Tg Pagar Rd 
LCK104 NEO TIEW CRESCENT
5 Tai Seng Drive 
24 Defu Lane 10 01-232
2 Fan Yoong Rd 
NO 6 TUAS AVE
1 North Bridge Road 02-05 High Street Centre
Katong Shopping Centre 865 Mountbatten Road 
101 Thomson Road 20-03 United Square
492 Geylang Road
546A SERANGOON ROAD
1045 Eunos Ave 4 
No 1 Sophia Road Peace Centre 05-23
46 Penjuru Lane 03-00
Clifford Centre 24 Raffles Place 
No 1 Jalan Kilang Timor 09-03 Pacific Tech Centre
295A Tanjong Katong Road
07-17 Eunos Techpark60 Kaki Bukit Place
100 Jln Sultan 
16 Kallang PI 
22 Havelock Road 01-701
253 Alexandra Road 
Petain Road / Tyrwhitt Road Shop Houses 22 Hamilton Road
9 Aljunied Rd
41 Holland Dr 
1 Esplanade Drive 
BLK 3020 UBI AVENUE 2 
5051 
16 ARUMUGAM ROAD 02-03 TECK CHIANG IND BLDG
Da Jin Factory Building 362 Upper Paya Lebar Road 
United Square 101 Thomson Road 
85 GENTING LANE 03-03 GUAN HUA WAREHOUSE BLDG
277 ORCHARD ROAD
24 Peck Seah Street 
Chinatown Complex (U/C) 335 Smith Street 
1 Queensway 
497 Tampines Street 45
406A Sembawang Dr 
115 Neythal Road
18 Tuas West Avenue
19 tangling road 01-05 orchard parade hotel
65 CHULIA STREET 
61 Ubi Avenue 2 08-03 Automobile Megamart
3 Pickering Street 
10 Ubi Crescent CORE D 
60 KIM KEAT ROAD 
38 Kim Tian Road 
566 Balestier Road
Yi Xiu Factory Building 65 Sims Avenue 
3028A Ubi Road 3 
21 Tai Seng Street
43 Ubi Crescent 
2 Jurong East St 21 
1 Yishun St 23 
1 Tanjong Pagar Road 
416 Ang Mo Kio Ave 10 
133 New Bridge Rd 
5001 Beach Road 04-18 Golden Mile Complex
Blk 750 Oasis Chai Chee Road 
1 Finlayson Green 
Fortune Centre 190 Middle Road 
253 Arcadia Road 
2 Jurong East Street 21 05-27C Imm Building
Senoko Fishery Port 31 Attap Valley Road 
290 Orchard Road 18-03 The Paragon
133 cecil street 16-01b keck seng tower
304 Orchard Road 01-53 Lucky Plaza
7 Toh Guan Road East 08-10
Blk 192 Lor 4 Toa Payoh 
Yishun MRT (NS13) 301 Yishun Avenue 2 
BLK 3021 UBI AVENUE 2 
Holland Road Shopping Centre 211 Holland Avenue 
122 MIDDLE ROAD 04-01 MIDLINK PLAZA
BLK 18 JALAN MEMBINA 
450 Upper Changi Road 02-11
Bukit Merah Polyclinics (Singhealth) 163 Bukit Merah Central 
1 Sophia Rd 
420 North Bridge Road  04-32 North Bridge Centre
39 Ubi Road 1 
817 Jurong West Street 81 
19 Kallang Avenue 01-159
31 Exter Road 
304 Orchard Road 
2021 Bt Batok St 23 
528 Hougang Ave 6 
101 UPPER CROSS STREET 02-36 PEOPLE'S PARK CENTRE
255 Kaki Bukit Ave 1 
Enterprise Centre 20 Bukit Batok Crescent
5B TRENGGANU STREET
180 Cecil Street 
101 Cecil Street 23-05 Tong Eng Building
Tong Eng Building 101 Cecil Street 
Block 634 Veerasamy Road 01-140
192 Waterloo Street 
5 Shenton Way 
31 Pandan Road
19 TANGLIN RD 61-61
3018 Bedok North Street 5 06-20
45 Defu Lane 9
3017 BEDOK NORTH STREET 5 06-03 GOURMET EAST KITCHEN
203B Henderson Rd 06-03
77 High St 
55 Lorong L Telok Kurau 
190 Lorong 6 Toa Payoh 
No6 Attap Valley Road
116 Changi Road 
8 Woodlands Link 01-02 Kong Guan Industrial Building
3 carlton avenue
PU4 PULAU UBIN
435 Orchard Road
33B Hongkong Street
Vbox
252 North Bridge Road
148 Potong Pasir Ave 1 
Minwa Industrial Building 39 Genting Lane 
141 Cecil Street 
810 GEYLANG ROAD 
1003 Bt Merah Central Technopreneur Centre 
160 Changi Rd 
121 Bt Merah Lane 1 
4 Jalan Besut 01-04
50 East Coast Road 01-127 Roxy Square
24 New Industrial Rd 
222 222 Tagore Lane 02-11 Tg Building
141 Cecil Street 
1 BROOKE RD B1-22
20 KRANJI ROAD
18 MANDAI ESTATE
230 Orchard Road 
Block 28 Tomlinson Road 10-34 Kum Hing Court
10 Anson Rd 24-09 International Plaza
34 Pioneer Sector 2
994 BENDEMEER ROAD 06-07
4 Tuas View Lane
41 KALLANG PUDDING ROAD 
275 Thomson Rd 
Wing on Life Gardens 335 Bukit Timah Road 
27 Woodlands Industrial Park E 1 
Mildmarket Industrial 50 Balam Road 18-76
371 ALEXANDRA ROAD AIA ALEXANDRA
480 Lorong 6 Toa Payoh 5th Storey HDB Hub
215 HENDERSON ROAD
HDB Ang Mo Kio 609 Ang Mo Kio Avenue 4 
1045 Eunos Ave 4 
HDB Clementi 603 Clementi West Street 1 
BLK 2021 BUKIT BATOK STREET 23
896 Dunearn Road 
5 Pereira Road 04-04 Asiawide Industrial Building
Block 4010 Ang Mo Kio Avenue 10 
466 Pasir Ris Street 41 
3 Mt Elizabeth 
71 Tannery Lane 
1 Cherry Ave 
10 Sinaran Drive 
1 Kaki Bukit Avenue 3 04-01 Kb-i
Autoacc Trading 40 Loyang Drive
Changi Airfreight Centre P O Box 940
HDB-Pasir Ris Branch Office 443 Pasir Ris Drive 6 
80 Genting Lane Ruby Industrial Complex Genting Block
39 Ubi Road 1 
No 8 Defu Lane 8
178 Serangoon Rd
4 LORONG 13 GEYLANG
24 Defu Lane 10 01-232
9008 Tampines St 93 
1 North Bridge Road 
1003 Bukit Merah Central 
195 Pearl's Hill Terrace 
102E Pasir Panjang Road 03-06 Citilink Warehouse Complex
Blk 620 Choa Chu Kang St 62 06-16
221 Boon Lay Place 
208 Hougang Street 21 
Progress 19 Tuas Road
748 Yishun Street 72 01-212
Frontier 50 Ubi Avenue 3
No 3 Jurong West Street 1  21-00
7 RAFFLES BOULEVARD 
Octagon System Furniture Pte Ltd 3 Sungei Kadut Crescent
Guan Hua Warehouse Building 85 Genting Lane 
42 Woodlands Terrace
100 Cecil Street 
133 New Bridge Road 17-03 China Town Point
Blk 404b Fernvale Lane 19-135
95 Jln Sultan 
22 Farrer Road
69 Moulmein Road 01-81
2 International Business Park 12-07/08 The Strategy
304 ORCHARD ROAD 
404 FAJAR ROAD 07-279
371 Alexandra Road 08-19 Aia Building
325A Beach Road
84 Geylang Bahru 01-2676
Far East Plaza 14 Scotts Road 
Block 1003 Toa Payoh Industrial Park 
201 Pearls Hill Terrace 
72 Yuk Tong Ave S pore
74 Whampoa Dr 
BLK 115 BUKIT MERAH VIEW 
3791 jalan bukit merah
3 Coleman Street 
The Arcade 11 Collyer Quay 
53 Ang Mo Kio Ave 3 
24 Benoi Place
109 Lorong 1 Toa Payoh
3 COLEMAN STREET 
371 Alexandra Rd 
65 SUNGEI TENGAH ROADPLOT 43
Blk 3A Clarke Quay Alfresco
55 Ayer Rajah Crescent 
361 UBI ROAD 3 
278 SOUTH BRIDGE ROAD
11 Tuas Ave 3
81A Geylang Road 02-02
6 Napier Rd 
20 Kramat Lane 
16 CHANGI SOUTH STREET 1
Block 5002 Ang Mo Kio Avenue 5 
61 TEBAN GARDENS ROAD 01-07 MULTI STOREY CAR PARK
Tampines St 41  Tampines
545 Orchard Road 04-22 Far East Shopping Centre
46 East Coast Road 07-03 Eastgate
41 Toh Guan Road East 
801 French Road 
180 Paya Lebar Rd 
1001 Eunos Ave 8 02-12
344A Joo Chiat Road
9 Lor 21a Geylang 
1 Kim Seng Promenade 
Blk 531A Upper Cross Street 03-102 Hong Lim Complex-Blk 531A
3020 UBI AVENUE 2 02-119
57 Geylang Bahru 
21 Middle Rd 
545 Orchard Road 
252 North Bridge Road
Blk 168 Jln Bt Merah 
Highgate 68 Toh Tuck Road 
58 Amoy St
2 Pandan Valley 
1 Fullerton Square
1 Woodlands Square 
20 Maxwell Road 
9 Temasek Boulevard 28-01 Suntec Tower 2
37 Tannery Lane 06-04 Tannery House
Defu Industrial Park A 8 Defu Lane 1
62 Tannery Lane
Block 376 Tampines Street 34 89-98singapore
15 Jln Jelita 
112 East Coast Road B2-07 Katong Mall
Cecil Street
221 Boon Lay Place 
6016 Ang Mo Kio Industrial Park 3 
2A Sungei Kadut Drive
252 North Bridge Road
14 Everton Road
Block 205C Compassvale Lane 
2 DEFU LANE 8
3025 Ubi Road 3 
BLK 1009 BUKIT MERAH LANE 3 
1 Raffles Place 
482 Admiralty Link 
Cendex Centre120 Lower Delta Road 
214 Upper East Coast Road 
205 Kaki Bukit Avenue 1 SHUN LI INDUSTRIAL PARK
9 Battery Rd 
19 Cuppage Road Cuppage Terrace Unit 19  Orchard
300 Beach Road 
63 CHULIA STREET 
1090 Lower Delta Road 
304 Orchard Rd 
167 Jalan Bukit Merah TWR 4 
BLK 64 YUNG KUANG ROAD 
57 Geylang Bahru 
2 SIN MING ROAD 01-07 SIN MING PLAZA
31 Defu Lane 10 
277 ORCHARD ROAD
176 Sin Ming Drive 01-18
30 CECIL STREET LEVEL 14
36 Robinson Road 
2 Ang Mo Kio St 64 
180 Tyrwhitt Rd 
Blk 3004 Ubi Ave 3 
26 Belimbing Ave
1015 Geylang East Ave 3 03-121
1 FIFTH AVENUE GUTHRIE HOUSE
10 Shenton Way MAS Building
10-12 SCOTTS ROAD
13 Pandan Crescent
621 Hougang Ave 8 
100 Beach Road 16-05 Shaw Tower
3020 Ubi Avenue 2 
371 ALEXANDRA RD 09-03 AIA ALE 09-03
1 Raffles Place 18-02 OUB Centre
219 Henderson Road Henderson Industrial Park
3188 Geylang Bahru 
15 Pasir Panjang Road Wholesale Centre 
6 UBI ROAD 1 07-10 WINTECH CENTRE
88 International Road  zipcode:
48 Tuas Road
1 Changi North Street 1
3 South Buona Vista Road 
21 Marsiling Lane 
625 Aljunied Road Aljunied Ind Complex
55 Lorong L Telok Kurau 
534 Bedok Nth St 3 
30 Jurong Port Road B1-3 Jalan Buroh Warehouse Complex
310a Anchorvale Road 13-31
53 Ubi Ave 1 
16 RAFFLES QUAY 38-01 HONG LEONG BUILDING
29 RECREATION LANE
3A SHENTON WAY UNIT 14
52B Temple Street
13 SIGLAP ROAD
Mount Elizabeth Medical Centre 3 Mount Elizabeth 05-03 Level 5
58 Jalan Tari Piring
71B DUXTON ROAD
80 Marine Parade Road 01-K3 Parkway Parade
5 Kian Teck Road
115 AIRPORT CARGO ROAD 06-18 CARGO AGENTS BUILDING C
27 Purvis Street 
160 Ang Mo Kio Ave 4 
Telok Blangah House 52 Telok Blangah Road 
22 Tai Gin Rd
60 Albert Street 
3 Pasir Panjang Road 10-35 Alexandra Distripark
Sim Lim Square 1 Rochor Canal Road 
149 Woodlands Street 13 06-849
141 Middle Road
Blk 20 Woodlands Link  08-18
Blk 449 Sin Ming Ave 02-515
3017 Bedok North Street 5 01-09
240 Macpherson Road 02-02 Pines Industrial Building
42 BAKER ROAD
135 JALAN BESAR
1 Ridgewood Close 
9 HAIG LANE
3B Trengannu Street  Chinatown
10 Sinaran Drive 
48 Toh Guan Rd East 
59 Ubi Ave 1 
Bayshore Park 64 Bayshore Road 
20 Watten Rise
403 Pandan Gardens 13-22
BLK 85 BEDOK NORTH STREET 4 
1 Maritime Square 
394 Upper Bukit Timah Road
9 Temasek Boulevard 07-00 Suntec Tower Two
2 Sungei Kadut Street 3
35/37 CUPPAGE ROAD
35 Changi South
157 Sin MIng Road 
106 Yishun Ring Road 
101 thomson road 26-01a united square
19 Opal Cresent
1009 Tai Seng Ave 
11 Chin Bee Drive
6 Soon Lee Road Jurong
200 Jalan Sultan 02-42 Textile Centre
517 Airport Road 
912 Upper Thomson Road
Siltronic 10 Tampines Industrial Avenue 5
201D Tampines Street 21 
112 Robinson Road 
37 Ann Siang Road
16 Collyer Quay 
Kintetsg World Express Pte Ltd 20 Changi South Avenue 2 
21 Anderson Rd 
BLK 38 DEFU LANE 10
82 HORNE ROAD
31 Defu Lane 10 
Woodlands
45 Craig Rd 
10 Collyer Quay 
120 JURONG EAST STREET 13 01-83
167 Woodlands Street 11 01-09
3013 Bedok North Avenue 4 
101 Lor 23 Geylang 
1 Maritime Square 
East Coast Hill 61 Sennett Lane
391 B Orchard Road
61 Ubi Avenue 2 08-02A
BLK 456 ANG MO KIO AVENUE 10
246 Macpherson Road 108-05 Betime Building
18B Jalan Lokam Tai Keng Court
2 Soon Wing Road 
16 Jalan Kilang Timor  08-01 / 02 Redhill Forum
222 PASIR PANJANG ROAD
Blk 683 Hougang Ave 8 
4 Penjuru Close
49 Jalan Pemimpin 02-10 APS Industrial Building  singapore
1001 Jalan Bukit Merah 
8 Temasek Boulevard 
1 Raffles Place 
10 Anson Road 
Specialist Women's Medical Centre 103 Yishun Ring Road 
787B Choa Chu Kang Drive 
60 COLLYER QUAY
Aljunied Industrial Complex 625 Aljunied Road 
896 Dunearn Road 
150F East Coast Road
511 Upper Jurong Road
3 Anson Road 
10 Anson Road 39-15
HDB-Ang Mo Kio 128 Ang Mo Kio Avenue 3 
2 Jurong East St 21 
22 Lor Mambong
53 Ubi Ave 1 
50 Gul Avenue
177 Toa Payoh Central 
11 DEFU LANE 10 DEFU INDUSTRIAL PARK C
261 Waterloo St 
2 Tampines Central 5 
321 Orchard Road 
BLK 534 CHOA CHU KANG STREET 51 
36 Sungei Kadut Street 2 Sungei Kadut Industrial Estate
350 Orchard Road 
51 GoldHill Plaza 21-06
135 Middle Road 02-07 Bylands Building
49 Jalan Pemimpin 02-10 APS Industrial Building  singapore
BLK 9004 TAMPINES ST 93 01-90
3791 Jalan Bukit Merah 09-27 E-Centre Redhill
21 Balmoral Park 01-02
152 Beach Road 
Siltronic 10 Tampines Industrial Avenue 5
6 UBI ROAD 1 07-10 WINTECH CENTRE
361 JOO CHIAT PL
Balmoral Plaza 271 Bukit Timah Road 
18A Murray Street
1 Pasir Ris Cl 
72A Dunlop Street
4 Shenton Way 
11 King Albert Park
29A Jalan Selamat
50 Raffles Place 37-00  Land Tower
42 Woodlands Terrace
2 Jurong East Street 21 
80 Raffles PI 
52 Genting Lane 
2 RAFFLES LINK 
16 Jalan Kilang Timor 
1 Lok Yang Way 6C
194 Pandan Loop  02 -19 Pantech Industrial Complex
10 Tuas View Square
55 Siglap Rd 
7500A Beach Road 16-316 The Plaza
1 Bt Batok Central Link 
6001 BEACH ROAD 02-44 GOLDEN MILE TOWER
Blk 928 Jurong West St92
190 Clemenceau Avenue 05-10 Shopping Centre
2A Kian Teck Avenue
1 Kaki Bukit Road 1 
Blk 540 05-24 Choa Chu Kang St52
5 Ang Mo Kio Industrial Park 2a 
422 Orchard Road
200 Middle Road 12-01 Prime Centre
3023 UBI ROAD 3 06-06 UBIPLEX 1
Level B1 Supreme Court of  1 Supreme Court Lane
100 Beach Road 
3 Dickson Road Bugis
389 BALESTIER ROAD
Boat Quay Shop Houses 85 Circular Road
6001 Beach Road 
Victory Building 111 Defu Lane 10 
55 Market Street 
63 Cantonment Road
15 Lorong 8 Toa Payoh 02-08 Braddell Tech
164 Lentor Loop 
13 Short Street
2 PEGU ROAD
Blk 803 King George's Ave 
51 Bukitbatok Crescent 
30 Upper Cross Street
219 Henderson Road
3A River Valley Road 
LOT 52 SUNGEI TENGAH ROAD
2 Finlayson Green 
13A Pandan Crescent   singapore
Blk 230 Pending Road 05-53
80 Marine Parade Rd 
35 Selegie Road 
170 Ghim Moh Rd 
79 Anson Road 12-01
54 SMITH ST
5 JLN TEPONG JURONG TOWN
Blk 928 Jurong West St92
3 LOR BAKAR BATU 02-04 BRIGHT WAY BUILDING
6 Eu Tong Sen St 
77 High St 
Level B1 Supreme Court of  1 Supreme Court Lane
16 16 Woodlands Walk
190 190 Ang Mo Kio Avenue 8 01-02
BLK 451 JURONG WEST STREET 42
2 kallang pudding Rd 02-12
Pioneer Road North
1 Jurong West Central 2 
8A Jetty Rd 
SB Building 25 Changi South Street 1 
7 CLUB STREET
30 Robertson Quay 
10 Hoe Chiang Road 
1406 14th Floor  Nariman Point
513 Bishan Street 13 01-514
50 Jalan Sultan 22-04 Jalan Sultan Centre
357D Holland Road
304 ORCHARD ROAD 
273B New Bridge Road  Chinatown
25 Genting Road 
9 Jurong Town Hall Road 
180 Paya Lebar Road 
12 Soon Lee Road
14 Prince George's Park
203B HENDERSON ROAD 03-09
18 TECK WHYE LANE 01-95
170 Up Bt Timah Rd 
123 Genting Lane 
6 Temasek Boulevard 
115 Airport Cargo Road 
253 Jurong East Street 24 01-277
18 Pearls Hill Terrace 
141 Cecil Street 
7 Temasek Blvd 
114 LEE KAI HOUSE 04-00 MIDDLE RD
140 UPPER BUKIT TIMAH ROAD 
PO Box 514 Crawford Post Office
133 New Bridge Road 12-10
111 North Bridge Road 
656 Woodlands Ring Road 08-356
127 Pioneer Road
Honolulu Towers 341 Bukit Timah Road 
196 Pandan Loop 
1 George Street 
13 Short Street 
317 Joo Chiat Road
Block 115A Commonwealth Drive 01-27/28
22 Scotts Road Goodwood Park Hotel
Blk 687 Jurong West Central 1
5 Koek Road 
150 Orchard Road Orchard Plaza 
BLK 775 BEDOK RESERVOIR VIEW 
30 Jln Kelichap
94 ENG NEO AVENUE
12 TRENGGANU STREET
8 Bukit Pasoh Road
37 Tannery Lane 06-04 Tannery House
30 Kallang Place 03-23
5001 Beach Road 04-03P Golden Mile Complex
7B Keppel Road TANJONG PAGAR COMPLEX
200 Jalan Sutan 
15 Lorong 8 Toa Payoh 04-06

14 Senoko Loop
2030 Bukit Batok Street 23
3 Science Park Drive 
BLK 114 BUKIT BATOK WEST AVENUE 6
4D Marigold Dr
8 Temasek Boulevard 
BLK 10 PASIR PANJANG ROAD 
39 Kim Chuan Drive
3027 Ubi Road 1 
11 COLLYER QUAY 
1009 Tai Seng Ave 
39 Geylang Seria 889b Malay Village
205 Henderson Road
6 Loyang Dr Loyang Ind Est 
AFPN 1255 1078 East Camp Road 
1 INT'L BUSINESS PARK 01-13 THE SYNERGY
604 Sembawang Road 02-17 Sembawang Shopping Centre
253 Alexandra Road 
Blk-268c  16-554 Boonlay Drive
202a Compassvale Drive 10-577
18 Boon Lay Way 
5065 Ang Mo Industrial Park 2 01-1427
61 Killiney Road
80 Anson Road 
111 NORTH BRIDGE ROAD 
BLK 325 CLEMENTI AVENUE 5
427 Race Course Road
Guan Hua Warehouse Building 85 Genting Lane 
302 Tiong Bahru Rd 
149 Geylang Road 03-02
BLK 1081 EUNOS AVENUE 7 
60 Robertson Quay 
100 Namly Ave
391 Orchard Road 
774 Woodlands Crescent 
80 RAFFLES PLACE 16-20
61 Kaki Bukit Avenue 1 
35 Kallang Pudding Road 04-01/02 Tong Lee Bldg-blk A
Blk 221 Boon Lay Place 02-197 Boon Lay Shopping Centre
6 Thomson Hill HAPPY ESTATE
865 MOUNTBATTEN ROAD 
10 Anson Road 
10 Ubi Crescent 
54 Kallang Bahru 06-14
Blk 233 Ang Mo Kio Ave 3
132A Telok Ayer St
Pasir Ris
303 Changi Rd
15 Scotts Road 
111 North Bridge Road 05-22/23 Peninsula Plaza
1 Yishun St 23 
4 Robinson Rd 
41 Science Park Road 04-02 The Gemini
International Plaza 10 Anson Road 
21 Orchard Boulevard 
13 Haig Road 01-002
8 Senoko Sth Rd 
2 JALAN TERUSAN
1090 Lower Delta Rd
204 SYED ALWI ROAD
46 East Coast Road 03-05
BLK 148 POTONG PASIR AVENUE 1 
10 Sinaran Drive 02-02 Square 2
Delfi Orchard 402 Orchard Road  
111 North Bridge Rd 
Ang Mo Kio (AMK) Tech 1 1 Ang Mo Kio Industrial Park 2a 
9 FOURTH LOK YANG ROAD 02-01
AFPN 1287 233 Pasir Laba Road 
30 Robertson Quay 
Faith Methodist Church 400 Commonwealth Drive
42 Surin Avenue
354 Clementi Ave 2 
Woodlands
62 Tannery Lane
8 Lorong Bakar Batu 01-04
61 61 Bukit Batok Crescent 04-06 Heng Loong Building
12 Jalan Lempeng 03-04 Park West
112 Middle Rd 
2 Bukit Merah Central 21st Floor
68 ORCHARD ROAD B2-15
5001 Beach Rd 
10 Ubi Crescent 
1 NORTH BRIDGE ROAD 
Henderson Ind Est  Blk 219 Henderson Road 
828 Tampines Street 81 
42 Horne Rd 
2 Jurong East Street 21 
401 HAVELOCK ROAD 
15 MCCALLUM STREET 
Blk 633 Bt Batok Central 01-118
19 Tanglin Rd 
LHK Building 701 Sims Drive 
116 CHANGI ROAD 
157 Sin Ming Road 02-01
AFPN 8001 800 Old Chua Chu Kang Road
56 Upavon Road
54 SENOKO ROAD
West Bay Condominium 52 West Coast Crescent 
36 Robinson Road 
112 East Coast Road B2-07 Katong Mall
24 Lorong Pisang Raja
391B Orchard Road 
Abdel-Khaliq street
613 Clementi West St 1 05-346
BLK 163 YUNG PING ROAD
BLK 85 BEDOK NORTH STREET 4 
21 Science Park Road 03-19 The Aquarius S'pore Science Pk II
Pioneer Road North
42C HONGKONG STREET
68 ORCHARD ROAD B2-15
11 Tai Thong Crescent
120 Maxwell Road
PO Box 155 Woodland Post Office
118 Depot Lane 
1 Bt Batok Central Link 
263 Serangoon Central Dr 
1 Selegie Road 
1 Yishun St 23 
2 JURONG EAST CENTRAL 1 01-01 JURONG ENTERTAINMENT CENTRE
8 Shenton Way 29-02 Temasek Tower
400 Orchard Road 
80 Raffles PI 
180 Paya Lebar Road 10-02 Yiguang Building
43 Carpenter Street 
170 UPPER BUKIT TIMAH ROAD 02-20
Defu Industrial Park A 8 Defu Lane 1
1 SELEGIE ROAD 
